"Local SHA","Local Subject",
"916c0d833308d0eda61e6038f9ae7910ce1c82b8","BACKPORT: drm/amd/display: fix a compile warning",
"9d304995796752dd1a2808d984551b803f521a5c","FROMGIT: drm/msm/hdmi: Enable HPD after HDMI IRQ is set up",
"f9fedc34be9d28b86914df941c906dffe2f98a67","FIXUP: FROMLIST: dt-bindings: Introduce interconnect binding",
"fa30475edc3d201873c99c206e660f14996eef9e","FIXUP: FROMLIST: interconnect: Allow endpoints translation via DT",
"0d363ad331f33c149009f0fbcd616f1fa62f31a4","FIXUP: FROMLIST: interconnect: qcom: Add sdm845 interconnect provider driver",
"e4b6699f180ec51deb7e5ec119ff730a417df6d1","FROMLIST: drm/amdgpu/gmc: fix compiler errors [-Werror,-Wmissing-braces]",
"47e48a1539375617ef2c6c07ba578542c26c6f74","FIXUP: BACKPORT: FROMLIST: arm64: dts: sdm845: Add interconnect provider DT nodes (include)",
"7139d985f49f636f4eaaa889377def262433383e","FIXUP: FROMLIST: arm64: dts: sdm845: Add lpasscc node (status=disabled)",
"d504e9690b307048d02517c269169f241ef45598","FIXUP: FROMLIST: clk: mediatek: Add new clkmux register API",
"9ce4d3307595c32733e47e4e4a5c875754fc3edf","FROMLIST: HID: intel-ish: enable raw interface to HID devices on ISH",
"0497388cad3da78547a7f27a318219a8a045f501","FIXUP: FROMLIST: arm64: dts: mt8183: add pintcrl device node",
"c4211dbab6a838c2d2df19121733ddfcb2f64b24","FROMLIST: power_supply: Add more charge types and CHARGE_CONTROL_* properties",
"20d0be293126288ccbada727fae505ecf6fd3516","FIXUP: FROMLIST: wilco_ec: Add Boot on AC support",
"25d2f6a319f7cc2a7b7456c83f7e0b73e9f76bc4","FROMGIT: dt-bindings: net: bluetooth: Add device tree bindings for QTI chip WCN3998",
"9dc66890ccca0c77f0dc4cb46810320c7a4de2e7","FIXUP: FROMLIST: mfd: intel-lpss: Add Intel Comet Lake PCI IDs",
"0bf56aa13c17bcb4e67e08dbcf0b8c71fbf62231","FIXUP: FROMLIST: BACKPORT: platform/chrome: wilco_ec: Remove 256 byte transfers",
"9b9d6c5d31bfc7f1e3271d89fcf6b8ef63ef918d","FROMLIST: platform/chrome: cros_ec_spi: Move to real time priority for transfers",
"771812a13500aa6c21f4faf5aeba3f3b46c70afe","BACKPORT: FROMLIST: arm64: dts: mt8183: add capacity-dmips-mhz",
"5568f4d311e64ab469ee8a926a7e60c6e6693d21","FIXUP: FROMLIST: USB: dwc2: Don't turn off the usbphy in suspend if wakeup is enabled",
"adce70f718dd0c7ac7fbdad5fd5f5cc56ecff157","FROMLIST: jbd2: introduce jbd2_inode dirty range scoping",
"ed5313374aae221c489487adc625dec9dde642ab","FROMLIST: platform/chrome: lightbar: Get drvdata from parent in suspend/resume",
"c932cb91c7b4ae6eb833f20c430a1cb75ecc70b9","BACKPORT: FROMGIT: nvme-pci: Unblock reset_work on IO failure",
"eded6dbd4af9d34ba772f415c712026ddb77f2d7","UPSTREAM: Make dev_pm_opp_set_rate() handle freq = 0 to drop performance votes",
"8165e729c8aa256205c76ac9f11bb65b639ced61","UPSTREAM: opp: Allocate genpd_virt_devs from dev_pm_opp_attach_genpd()",
"686a359c9b3a624af82cd30ec40795e7b09a5af1","UPSTREAM: PM / devfreq: add support for suspend/resume of a devfreq device",
