"Local SHA","Local Subject",
"ccd3431e3e55c717817595b6dae8371a0d4169a9","FROMLIST: KVM: X86: Add missing KVM_AMD dependency",
"41df57ea86a56581184489fd6ad8b20c27c9b727","FROMLIST: thermal: handle get_temp() errors properly",
"5bf6fa6869eec24b066dcabe54062809091b65bb","FROMLIST: mnt: Silence lockdep warning about i_mutex, mount and reclaim",
"d4ad580db16a40a73edc30c37ae470fee80cbc18","FROMLIST: ecryptfs: sync before truncating lower inode",
"29857d973759054f8481aec57892984963bb6bb8","FROMLIST: rtc: report time-retrieval errors when updating alarm",
"f946546f51c84a0f2c4a14dae8c38e66bb09a5d9","FROMLIST: i2c: enable async suspend/resume on i2c devices",
"dac9f7e8f74be13def6f5c7006fca4c2bbb15f90","FROMLIST: BACKPORT: freeze: Add error reporting",
"63c68db40b45828101f078b9a2569a01829c1ce0","FROMLIST: BACKPORT: tick: Add freeze timer events",
"af30a257b79400838f430df66f14b95165f6dfcf","FROMLIST: scsi: ufs: Make sysfs attributes writable",
"4049f6b5fe92cb91e518dc04f1d22f156de0bfaf","FROMLIST: scsi: ufs: Make sysfs flags writable",
"58511334fc57c6f71fa91d8f6560c375a7e76a94","FROMLIST: staging: max98927: Added controls for Envelope tracking",
"434ac7e1bfa33c746e65f5832f6344e3643ce286","FROMLIST: ASoC: da7219: read fmw property to get mclk for non-dts systems",
"2ce5d4826c3833f3e013e8c9ced05f2eeacdce28","FROMLIST: tpm_tis_core: add optional max xfer size check",
"b170908295d1b3772c0bea2c97eb56a193e5705c","FROMLIST: tpm_tis_spi: add max xfer size",
"fe99c14ab0c690fdd20437afd08d036f37ee4c2f","FROMLIST: tpm: add sysfs attributes for tpm2",
"cd28aefd096747258e821e66c9ee615bfe147bfa","FROMLIST: tpm: add driver for cr50 on SPI",
"eaffff36d0e615d30f990f1e58c173f770e98010","FROMLIST: tpm: devicetree: document properties for cr50",
"f082f3f0d0e5c306c8f4b79e3230e25bc5daa4b4","FROMLIST: BACKPORT: x86, apic: Add freeze event support",
"c048ef7c5dc60f8d2443f97137950fee1111e2f4","BACKPORT: drm/i915/gvt: Move some MMIO definitions to reg.h",
"5a20bd37d63cac35b6b7993c92e56f686748284c","FROMLIST: ath10k: support PCIe enter L1 state",
"8af1c6cdaa7ed2dcb6283d693e54561cfb5e3ab1","FROMLIST: opp: Add API for getting voltage from supplies",
"28ca8b6bf79b5206877214dc69d48e83ee7599f7","FROMLIST: arm64: dts: sdm845: add interconnect DT entries for MDSS on SDM845",
"c24401bfe8a36b1807fe416d0c3328867f3577dd","FROMLIST: arm64: defconfig: Add Qualcomm UFS PHY",
"71d2cfe97ba1e38342cd2d1fb1d01d2826bf717d","FROMLIST: soc: qcom: rpmhpd: Set 'active_only' for active only power domains",
"71a746ee9e8fba2935eb461b69145fa9c923b4a4","FROMLIST: mfd: cros_ec: Do not attempt to register a non-positive IRQ number",
"4668553533b02a8bd60c50612286f9165105525b","FROMLIST: dt-bindings: soc: Add MT8183 power dt-bindings",
"ae9ff36e3b8fb6be2deb868f89987c214dfc37ec","FROMLIST: soc: mediatek: Add MT8183 scpsys support",
"b3c1472eb8ccb9f755f102ed60a1f73f789ff701","FROMLIST: drm/mediatek: split DISP_REG_CONFIG_DSI_SEL setting into another use case",
"000565ff2483ed65ca808f8639e14561513b9b9b","FROMLIST: drm/mediatek: add ddp component CCORR",
"a4eb1af425bb172a7b1ad5b15331dd02e0e2eaaa","FROMLIST: drm/mediatek: add gmc_bits for ovl private data",
"8f1d4efcc26af285ea549621bc191635d047e45a","FROMLIST: drm/medaitek: add layer_nr for ovl private data",
"f46e060fcc04342dabaa2959aa2e3aa81864a435","FROMLIST: dts: arm64: mt8183: Add I2C nodes",
"653df787909b968e1452a5a9eace88085c2711aa","FROMLIST: drm/panel: Add Boe Himax8279d MIPI-DSI LCD panel",
"68d609348481c72f79ddb91940f4b1736b0b90a8","BACKPORT: FROMLIST: arm64: dts: mt8183: add pwm0 node",
"a0cce7991e7c1fae3d68d5566216d0a088862dfa","FROMLIST: dt-bindings: Add panel-timing subnode to simple-panel",
"0a41a884fc397a8824b9b569969a8ec612133765","BACKPORT: FROMLIST: drm/mediatek: CMDQ reg address of mt8173 is different with mt2701",
"387443daddc97e696406dac1b7837fe9105b854f","FROMLIST: drm/mediatek: add frame size control",
"20c46f37277676aae666992ee8ffd1027016e866","FROMLIST: drm/mediatek: add mt8183 dsi driver support",
"5202e9078510d2a82d3e4a82976a7bbd78d39e45","FROMLIST: arm64: dts: mt8183: Add watchdog device node",
"090d3ec145de0200353a96113ce6a749c53404a0","BACKPORT: FROMLIST: arm64: dts: mt8183: Add reset-cells in infracfg",
"83c94009e486c7bcf874551aec95c9e15eca0020","FROMLIST: loop: Report EOPNOTSUPP properly",
"a6787f36099ac59a625388d0ee451c779d9e8a2c","FROMLIST: loop: Better discard support for block devices",
"bc8c8013b784a14e2ca44152c37a7919b2943d9d","FROMLIST: mfd: mt6397: extract irq related code from core driver",
"671928f446ed549233ed24d426b4d2bb730baf22","FROMLIST: mfd: mt6397: modify suspend/resume behavior",
"39cccbc3b249b54653e82108693c055dbfd08d8f","FROMLIST: dt-bindings: mfd: Add compatible for the MediaTek MT6358 PMIC",
"1e01edd5038ea331847652170e100a6b39e0dc0d","FROMLIST: rtc: mt6397: fix alarm register overwrite",
"91cb0f5c2434c94be238ffa1ffaffe0a74daaa31","FROMLIST: dt-bindings: nvmem: mediatek: add support for MediaTek mt8183 SoC",
"3fe8d793e1139e8db2b4fc6b34a9c898bbfbd4c1","BACKPORT: FROMLIST: arm64: dts: mt8183: add thermal zone node",
"cceb2c2b031cbeb92576e43a24af6439b5e1bc97","BACKPORT: FROMLIST: arm64: dts: mt8183: Add #cooling-cells to CPU nodes",
"f7890249fa334649a88b5acbfda280f6c4085a0f","FROMLIST: arm64: dts: mt8183: Increase polling frequency for CPU thermal zone",
"cb78a1d9b28908ce76615b819ad59df6238eea77","FROMLIST: dt-bindings: Add a binding for Mediatek SCP",
"6a7c9c15c5731aff511ae2e1f0b597f28a47c80f","FROMLIST: phy: rockchip-dp: Avoid power leak by leaving the PHY power on",
"6227949af26aeebf9ad8172b7bb199927402f217","FROMLIST: pwm: fine tune pwm-mtk-disp clock control flow",
"7d270ab3a452636a7f78f952a3093596f2129b54","FROMLIST: pwm/mtk_disp: fix update reg issue when chip doesn't have commit",
"1d154d305da3ea06ba6ba5e4af53388106244293","FROMLIST: drm: mediatek: adjust dsi and mipi_tx probe sequence",
"0cb512bf6c058f8d4cca1ea5bb2d58f0ead5966e","FROMLIST: drm/mediatek: change the dsi phytiming calculate method",
"0de67d142468cde5ab6408697701aa13bca6d74d","FROMLIST: thermal: mediatek: mt8183: fix bank number settings",
"a46de32aca388e701850c9de783993ad63f36c5f","FROMLIST: cpufreq: mediatek: add clock enable for intermediate clock",
"229d93bf9fd0edd810c3662baa572f31f9f73bd4","FROMLIST: cpufreq: mediatek: Add support for mt8183",
"902a0442213f592b2614e9a2dd860920f772f616","FROMLIST: dt-bindings: devfreq: add compatible for mt8183 cci devfreq",
"115de2a0997c703b089116db7618add8f25122c5","FROMLIST: devfreq: add mediatek cci devfreq",
"acea16a328484a7e23c286bdf751a64bfc8cec5d","FROMLIST: PM / OPP: Support adjusting OPP voltages at runtime",
"90a5cf04d3e909a11cb16a53d36b2d4b008505d0","FIXUP: FROMLIST: fixes CMDQ reg address of mt8173 is different with",
"6bc146a7e6125ae0088cf09aec8029e1955a2b20","FIXUP: FROMLIST: drm/mediatek: change the dsi phytiming calculate method",
"7ba5402b7e2e4995fb440c0048ddf556699115f5","BACKPORT: FROMLIST: arm64: dts: add audio node",
"7209b2aa5bf4bb045a4dee3d2ffbbf4134647e4a","FIXUP: FROMLIST: drm/mediatek: change the dsi phytiming calculate method",
"39479e169e78b320e0cf6175d9dcd48599b6597b","FROMLIST: dt-bindings: display: mediatek: update dpi supported chips",
"3495e1a07fd695801c579be381603bb3167dbcfb","FROMLIST: drm/mediatek: dpi dual edge support",
"b2f573be22313231c3ff9d7a35f750474e8640fa","FROMLIST: drm/mediatek: add mt8183 dpi dual edge support",
