"Local SHA","Local Subject","Local Patch ID","Upstream SHA","Upstream Subject","Upstream Patch ID",
"94c0786f7d0c02a4381609d02a486079532322a4","FROMGIT: dt-bindings: remoteproc: Add PDC reset binding for Q6V5 PIL","059887b3cd8710cf97ed1c5af5f23257be6d48c4","f861164526d99e0f161e709da56736d29d1b781c","dt-bindings: remoteproc: qcom: Remove additional definition tag","24387d2f530110ea56d5bc3b2ef828a3ee034b5d",
"24be5671b3b2d1aac8607c6c989f6ea92023b9f9","UPSTREAM: drm/bridge: add support for sn65dsi86 bridge driver","2768a05b4bea1b717e289f2abb90b93c2794d85e","a095f15c00e2788bd83f4e9aa64ef303cae8e649","drm/bridge: add support for sn65dsi86 bridge driver","0f24a7829c243c4134bb300427371b45d81e0a49",
"17daccfdc5ac55c8887289f3e773a964ed03b2f2","FROMGIT: ath10k: download firmware via diag Copy Engine for QCA6174 and QCA9377.","a541629c33d1cacb3aa890397f46b72657a0cc7e","39501ea64116c665e9de7cf6cce91a1defcdbae8","ath10k: download firmware via diag Copy Engine for QCA6174 and QCA9377.","d695d47f758483a0415f92f6f280f226bac57124",
"57b2ba142d71e42bd0024f8abda4b2ab012ce4f8","FROMGIT: remoteproc: qcom: q6v5-mss: Refactor mba load/unload sequence","6f0647d118c634e074e84b35184100062e0e58e5","0304530ddd29300aed7ef6e5b2fd409c7a0162e6","remoteproc: qcom: q6v5-mss: Refactor mba load/unload sequence","ee1a1059bbb46cc9d3f217d6823f7dfac1ef5f7f",
"55387429434f64611f34b9f80ed76b0c4c862d35","FROMGIT: remoteproc: qcom: q6v5-mss: Add custom dump function for modem","abbf8e0dee3f96f79673d4a8f6ea6b3963b5e618","7dd8ade24dc2a35e683c5eccdb81ee9e279b0348","remoteproc: qcom: q6v5-mss: Add custom dump function for modem","0ac6de8658db05db694306280dba7b813b7dd2cf",
"51f32652b9350918e17c1bcdc045cf4123abf9f6","FROMGIT: remoteproc: qcom: q6v5-mss: Register segments/dumpfn for coredump","2b8591b77a635375e98114b7f1200de1d04dc9e4","f18b7e914fd2ed5e8b5733644cefcf62f7582679","remoteproc: qcom: q6v5-mss: Register segments/dumpfn for coredump","8d9ad85399c4f01bb38311a8f9ab17c558b0d41c",
"204b926dff4a529831fc194e4873c32f4719496a","BACKPORT: Input: elants_i2c - use DMA safe i2c when possible","4cfc9cdb01fdf63e787cd7ae912a6dedc97c5b88","00f73f97527f6ea8b4bc2bc63c44299bcc2f5cab","Input: elants_i2c - use DMA safe i2c when possible","baa74cd77274165f4343e908f838317dde0eaa42",
"86c63f51f4c8b8b7bce2fa17f6d56dad9e9f5e9f","UPSTREAM: drm/vkms: Implement CRC debugfs API","338dd923eb6d790457cc997d95d1a5bbb819e6dc","6c234fe37c57627a5baf96f552afa1fae2b67d4d","drm/vkms: Implement CRC debugfs API","db030a9e1716c9175b41fa9fcf7374c8275ac7f1",
"d1a996c0bcd1c870099ee141582494bb79d4e5e2","UPSTREAM: drm/i915/crc: implement verify_crc_source callback","25d9c0bc0b4827750a2e068947ab89f5476841d7","a8c20833c6bf1246e05c9f13130b295960348555","drm/i915/crc: implement verify_crc_source callback","aae4cb079491038ce3a918c690d720a6348c87a2",
"c105761fdbe473a08c75e5732792c5f850ddc2b9","UPSTREAM: drm/gma500: Do not include <drm/drm_global.h>","586104417279227ae7528e7241b3e496dab69899","86e5d0b529a4002c720c8bddcba56c1e913c5359","drm/gma500: Do not include <drm/drm_global.h>","5ff12b51b9e8a9aa0eb8e50a6184662157f2d65f",
