"Local SHA","Local Subject","Local Patch ID","Upstream SHA","Upstream Subject","Upstream Patch ID",
"6b8fd775a0d3daf41e2bb0aea9a8c0f3ef88d190","FROMLIST: sched: Relocate arch_scale_cpu_capacity","855815b387451d65e9cf4ddbd4d07e10f5adc14b","5bd0988be12733a42a1a3d50e3e2ddfd79e57518","sched/topology: Relocate arch_scale_cpu_capacity() to the internal header","8587eed897e44315591e1c118615b954c02a69db",
"789ef1782d83521074fef5795e8b2b0cc2a1015a","FROMLIST: sched/cpufreq: Prepare schedutil for Energy Aware Scheduling","80e2f469f0044be6eac8839473e64e3bbd8e393f","938e5e4b0d1502a93e787985cb95b136b40717b7","sched/cpufreq: Prepare schedutil for Energy Aware Scheduling","2af84e3a61437926931fe19e9b844cbc4628e8c5",
"6758eb4914188233870eae9bc0e8fd56363ef409","FROMLIST: PM: Introduce an Energy Model management framework","08b0f79bd6aed68aa5b9f7bd25fae8897de2e654","27871f7a8a341ef5c636a337856369acf8013e4e","PM: Introduce an Energy Model management framework","ea55ae92b48ba02cfe9af98e63a7ae052665b518",
"65b391c53f93b74f7708f2ae6191164fac1aff29","FROMLIST: sched/topology: Reference the Energy Model of CPUs when available","39953a1b79fb7113556a5dca1f04b0fc713da3ac","6aa140fa4508933a6ac6717d65a403eb904d6c02","sched/topology: Reference the Energy Model of CPUs when available","16924fcb4c9eab19d4a3a6f99ef6a56eea0af55b",
"97da053c78b68f012c86133bad276f5a9f311e98","FROMLIST: sched/topology: Lowest CPU asymmetry sched_domain level pointer","f49cf4015c5d8faca4c84cb8e9d4aeb8b0c1e94d","011b27bb5d3139e8b5fe9ceff1fc7f6dc3145071","sched/topology: Add lowest CPU asymmetry sched_domain level pointer","f49cf4015c5d8faca4c84cb8e9d4aeb8b0c1e94d",
"8d1fea14be3a2fbedd1c76f12f449123fef7e1c3","FROMLIST: sched/topology: Disable EAS on inappropriate platforms","a69163dee4acdb5bc23517da61456bcc20ee5409","b68a4c0dba3b1e1dda1ede49f3c2fc72d3b54567","sched/topology: Disable EAS on inappropriate platforms","a8e6f9e2a2fcefcbb645a1ad2656aa4877c9d85f",
"996d62ba153adf383c7399e29274388bdc65f973","FROMLIST: sched/fair: Clean-up update_sg_lb_stats parameters","927a0ee55cff9cd3a977cb315c813d234ab3d63f","630246a06ae2a7a12d1fce85f1e5681032982791","sched/fair: Clean-up update_sg_lb_stats parameters","927a0ee55cff9cd3a977cb315c813d234ab3d63f",
"454d381629e07c7de93a96d63bae1290d70455e3","FROMLIST: sched: Add over-utilization/tipping point indicator","d8388c79d51ebfed2bbeb7e0f76c1e5f6b4e5695","2802bf3cd936fe2c8033a696d375a4d9d3974de4","sched/fair: Add over-utilization/tipping point indicator","73a9bb4d5150f655430d52855db9aba313996b81",
"935b5ba7eba175b18bd45757488c30ae53f60de7","FROMLIST: sched/fair: Introduce an energy estimation helper function","8c37eb4f84873b71a62fe40e7f35e45591891289","390031e4c309c94ecc07a558187eb5185200df83","sched/fair: Introduce an energy estimation helper function","df074f97e2e241ebf1c1088a09487d4808817eb7",
"1f1cb4eb202ff86e4928bd662cac144508748ac5","FROMLIST: sched/fair: Select an energy-efficient CPU on task wake-up","4b7211af76ae413e86b82a2c598f5b431d9e2cb8","732cd75b8c920d3727e69957b14faa7c2d7c3b75","sched/fair: Select an energy-efficient CPU on task wake-up","273317a207f9516074100a28b59de58a0a49e9ca",
"b6f7b5c66bf1c8e878bfa41fa80b1925214006ea","FROMLIST: sched/topology: Make Energy Aware Scheduling depend on schedutil","cbffd89bc037e8f65e8363be01c6ff91925660a5","531b5c9f5cd05ead53324f419b32685a22eebe8b","sched/topology: Make Energy Aware Scheduling depend on schedutil","d25ca0eeffc35a0de71baab06ba19d9d92a61cda",
"2c8f7282824bb1663e12414cc657ea3d300e19b9","FROMLIST: arm64: dts: sdm845: Add dispcc node","4ec1f0e10acd59688457bc014be1c895be16e4aa","40019e8452fe76867bdb2e7d5ca9f085fe0cd16b","arm64: dts: sdm845: Add dispcc node","4ec1f0e10acd59688457bc014be1c895be16e4aa",
"743c4a95897da0a4f4f30463a2bfd8eb6d0b84d1","FROMLIST: phy: Update PHY power control sequence","18325e6ac3e5822ceb5ad3958d460dbe6c1503e6","0d58280cf1e61b06cb4d4aab672efccdc28794f6","phy: Update PHY power control sequence","18325e6ac3e5822ceb5ad3958d460dbe6c1503e6",
"5d6bb44f5a826df2c3834f3edffd762dbcb40a44","FROMLIST: phy: General struct and field cleanup","010b93e56f56858fc66cd4cc43f4302c01352676","6b04526812ac41ba82317caa8df3549dda2cab97","phy: General struct and field cleanup","010b93e56f56858fc66cd4cc43f4302c01352676",
"94b5164324bce75402abe0c69c0a9e3a32adcb12","FROMLIST: phy: Add QMP phy based UFS phy support for sdm845","5ae5da1a9be8c82cf49d56991bd74b121e12dada","cc31cdbef9b7166fe42e08267349cfbaa32696b6","phy: Add QMP phy based UFS phy support for sdm845","5ae5da1a9be8c82cf49d56991bd74b121e12dada",
"99df7dbbaef3b683499924dab8d56c5e021ef4b9","FROMLIST: dt-bindings: phy-qcom-qmp: Add UFS phy compatible string for sdm845","66ee9602559630201c3ef2eba23c290eee38b3f3","99c7c7364b714e1de54a25c3642d991de1675e27","dt-bindings: phy-qcom-qmp: Add UFS phy compatible string for sdm845","5e28dd0b8e7a1b13187662550b69958f7ba67a5f",
"9d68a6ff4c80823eec4a7365a0c657f81bd125f2","BACKPORT: FROMLIST: arm64: dts: qcom: sdm845: Add USB-related nodes","8aa2244eff88fa0584155c50d96aa2b74f51b8d3","ca4db2b538a17aaf46ed968815cda50da2ca34a5","arm64: dts: qcom: sdm845: Add USB-related nodes","c0844c617b4b7d6b740bb0ab37f4f88a702f88b9",
"9f34ca2c7bcf381efb6f3e1a876dedf95f9b68ed","BACKPORT: FROMLIST: virtio_blk: add discard and write zeroes support","f93205fdd90ec46dabca8b59d402db7a416777c7","1f23816b8eb8fdc39990abe166c10a18c16f6b21","virtio_blk: add discard and write zeroes support","b0aee5ceb0d4673397167f2f3d22fa3e2cfcab52",
"b4e76934402f68f186636a2114627bb9f9883d9e","FROMLIST: drivers: soc: Add broadcast base for Last Level Cache Controller (LLCC)","349cac18c6b0d9fb7b279c0d43fc164c23678a6a","7f9c136216c745099f36a4e0c3b2e63eedeb442f","soc: qcom: Add broadcast base for Last Level Cache Controller (LLCC)","349cac18c6b0d9fb7b279c0d43fc164c23678a6a",
