"Local SHA","Local Subject","Patch ID","Upstream SHA","Upstream Subject",
"e61b029288d3a8c63980b24b16846717ba03e7c9","UPSTREAM: sched/topology: Add SD_ASYM_CPUCAPACITY flag detection","8139da8c8d0c3805b0dfe17fa688a51949c347f8","05484e0984487d42e97c417cbb0697fa9d16e7e9","sched/topology: Add SD_ASYM_CPUCAPACITY flag detection",
"854c0301f2e6f566dacf038dd0a4084152796e52","UPSTREAM: sched/topology, drivers/base/arch_topology: Rebuild the sched_domain hierarchy when capacities change","ff5f5a6ab819100b735ae3da960582d8f73b745c","bb1fbdd3c3fd12b612c7d8cdf13bd6bfeebdefa3","sched/topology, drivers/base/arch_topology: Rebuild the sched_domain hierarchy when capacities change",
"9dac45a203b0b56cb10f674e9f92dfd26a50ec82","UPSTREAM: sched/topology, arch/arm64: Rebuild the sched_domain hierarchy when the CPU capacity changes","034de7d6888ac6cd70cbc382ef3ed6c6e32d28d2","3ba09df4b8b6e3f01ed6381e8fb890840fd0bca3","sched/topology, arch/arm64: Rebuild the sched_domain hierarchy when the CPU capacity changes",
"1b6599f8bc7e1b705f4768a6b802ec91b8b65356","UPSTREAM: sched/topology, arch/arm: Rebuild sched_domain hierarchy when CPU capacity changes","0673137dbb9066890dddfb0bc50ed8683824086e","e1799a80a4f5a463f252b7325da8bb66dfd55471","sched/topology, arch/arm: Rebuild sched_domain hierarchy when CPU capacity changes",
"6dde7cc1308648ead020e58180056010ab5df238","UPSTREAM: sched/topology: Add static_key for asymmetric CPU capacity optimizations","07f24a30bc1bc70f84e72f001928b34d5916a67a","df054e8445a4011e3d693c2268129c0456108663","sched/topology: Add static_key for asymmetric CPU capacity optimizations",
"c0d53bb091bb6f9094234f38ecb947b8cd8b5641","UPSTREAM: sched/fair: Add 'group_misfit_task' load-balance type","fcbc274142eab9449dcc95d763b65d9ef39ad75b","3b1baa6496e6b7ad016342a9d256bdfb072ce902","sched/fair: Add 'group_misfit_task' load-balance type",
"8a086aa972697681f1806f68e339ee50a340c742","UPSTREAM: sched/fair: Add sched_group per-CPU max capacity","3fa416dfd9d1bbc0a107df1c5fe08da12504b360","e3d6d0cb66f2351cbfd09fbae04eb9804afe9577","sched/fair: Add sched_group per-CPU max capacity",
"df22961ffd874adc3b1218589fa7a7564f0977ad","UPSTREAM: sched/fair: Consider misfit tasks when load-balancing","eb1ebf4a2cd86846cd738da662c588710c0e6eb7","cad68e552e7774b68ae6a2c5fedb792936098b72","sched/fair: Consider misfit tasks when load-balancing",
"689ca13390e8e98b5e6ba8be581295dc5f2287d8","UPSTREAM: sched/fair: Kick nohz balance if rq->misfit_task_load","3bb66d900b146504b5c9068abe510b2842677192","5fbdfae5221a5208ed8e7653fc1c4b31de420f74","sched/fair: Kick nohz balance if rq->misfit_task_load",
"561be0dca897b0db660c625eb9b1a3eddc760fe9","UPSTREAM: sched/fair: Change 'prefer_sibling' type to bool","c246d5a39be1831a7a0dd2d90e5033aa5022ed9e","dbbad719449e06d73db21598d6eee178f7a54b3b","sched/fair: Change 'prefer_sibling' type to bool",
