"Local SHA","Local Subject","Next Commits",
"ac951441ba80c8c0d6f7a3e6a72ca296a8833b5b","FROMLIST: dt-bindings: mediatek: Add binding for mt8183 IOMMU and SMI","29746d012588f1de8517fc6921683c3844120989 dt-bindings: mediatek: Add binding for mt8183 IOMMU and SMI",
"12eb20d3a62850cfac0e4e1de38cf794e29f928b","FROMLIST: iommu/mediatek: Use a struct as the platform data","cecdce9d7eed33ce24da8dd4a2151b68d5c17865 iommu/mediatek: Use a struct as the platform data",
"b446dd6cfd2247773f23e75db81082141daaa34b","FROMLIST: memory: mtk-smi: Use a struct for the platform data for smi-common","42d42c76f8d2225aaed55997949d37424906e188 memory: mtk-smi: Use a struct for the platform data for smi-common",
"7883fc8cd0658bbb6c855cb4dab7d5531a2989f9","FROMLIST: iommu/io-pgtable-arm-v7s: Add paddr_to_iopte and iopte_to_paddr helpers","5950b9541b509037aeb9e7b95f88a692bf3f46a3 iommu/io-pgtable-arm-v7s: Add paddr_to_iopte and iopte_to_paddr helpers",
"74d49a34b188d11b042b3590b40cc7b3ab234867","FROMLIST: mfd: mt6397: clean up code","708cb5cc3fde63a33afa0aaf7a26fd7ea9015dd3 mfd: mt6397: Rename macros to something more readable",
"4659cdfdf70944ff5ca083c221183dd1bf2a5145","FROMLIST: dt-bindings: panel: Add Boe Himax8279d is 1200x1920, 4-lane MIPI-DSI LCD panel","caa54ec03c7fb6ec4382f7c7e54ab27d977be510 dt-bindings: panel: Add Boe Himax8279d is 1200x1920, 4-lane MIPI-DSI LCD panel",
"0493ba0d634447d39375293c0f85e3edfdac6b00","FROMLIST: arm64: dts: rockchip: Specify override mode for kevin panel","84ebd2da6d046781a67430cf3e6a138afe2ce15e arm64: dts: rockchip: Specify override mode for kevin panel",
"1eac4a7b1df07c94a307197c55f21eca4700fc78","FROMLIST: drm/panel: simple: Use display_timing for Innolux n116bge","d719cbe9a5b39437c442836a6fd5e7b178bcee4d drm/panel: simple: Use display_timing for Innolux n116bge",
"0251f307a7cfa9b35c1bd9e096ed688f8cb440b0","FROMLIST: drm/panel: simple: Use display_timing for AUO b101ean01","374bf825e7a07b6ae61a8a839c0ea184a7665267 drm/panel: simple: Use display_timing for AUO b101ean01",
"124c8275bb032f6b6b969c99dd12ec6392a59256","FROMLIST: ARM: dts: rockchip: Specify rk3288-veyron-chromebook's display timings","95671ec23696d7351b47d159159c6bdcb64fafe4 ARM: dts: rockchip: Specify rk3288-veyron-chromebook's display timings",
