"Local SHA","Local Subject","Reason",
"7b79bdfb28b55d4358f58fb8fb3d848d23e87d4d","FIXUP: FROMLIST: arm64: dts: qcom: Add AOSS reset driver node for SDM845","squashed into ea9e56c6b77680c60957eee57ba0e73363903da5",
"ade1de9e834b861ef8bd4a75d5e837cc3c6321ea","FIXUP: FROMLIST: interconnect: Add generic on-chip interconnect API","squashed into da4c1b2d9f5ee9526fd3d25fdc10b9520808e593",
"f9fedc34be9d28b86914df941c906dffe2f98a67","FIXUP: FROMLIST: dt-bindings: Introduce interconnect binding","squashed into b4a8bc6ba2bebd049df0a4036ecba20cb595f71f",
"fa30475edc3d201873c99c206e660f14996eef9e","FIXUP: FROMLIST: interconnect: Allow endpoints translation via DT","squashed into 610e114842d13d4d4c1d28e3d92020521f6a8cf5",
"0d363ad331f33c149009f0fbcd616f1fa62f31a4","FIXUP: FROMLIST: interconnect: qcom: Add sdm845 interconnect provider driver","squashed into b2c182b7c4661b5b3b88f4cdaa9f87463b6ab052",
"90219efc1c47c28cf51bf7e47bc306eeb094679d","FIXUP: FROMLIST: arm64: dts: sdm845: Add interconnect provider DT nodes","squashed into 0208796b9ce9d8800ccc28fd5d059f6b6c71e0de",
"47e48a1539375617ef2c6c07ba578542c26c6f74","FIXUP: BACKPORT: FROMLIST: arm64: dts: sdm845: Add interconnect provider DT nodes (include)","squashed into 0208796b9ce9d8800ccc28fd5d059f6b6c71e0de",
"1aeb56153d28950fbaa3c3bef53f13f7dedfb997","FIXUP: BACKPORT: FROMLIST: interconnect: Add generic on-chip interconnect API","squashed into da4c1b2d9f5ee9526fd3d25fdc10b9520808e593",
"ac2bee07bd9a1957487bdd941cb64cf57e4ad314","FIXUP: FROMLIST: interconnect: Add debugfs support","squashed into 9a295683ef3b013ebccb73132b1edb9a6d04a287",
"392021f191d5c30cbffdecb57ae6bfcb5b3ac59a","FIXUP: FROMLIST: soc: qcom: rpmpd: Add a Power domain driver to model corners","squashed into 0c3a6475dd48c3ebb1241af1527c11da35391c20",
"7139d985f49f636f4eaaa889377def262433383e","FIXUP: FROMLIST: arm64: dts: sdm845: Add lpasscc node (status=disabled)","squashed into 0b08eb5c0406c2da97f1607303072de50c25d19c",
"77a1d33fa5fd793d2cd67e31ff2bb0029b70c76b","FIXUP: FROMLIST: arm64: dts: sdm845: Add gpu and gmu device nodes (address-cells)","squashed into eeafc37c48477197406629173446b72bc325389a",
"d7d34cd043e4e75a6d0401f4f7f0d0bf236e90c3","FIXUP: FROMLIST: scsi: ufs: set the device reference clock setting","squashed into 892b4e3b39771465c3f24476b090db9df5c1d83e",
"d504e9690b307048d02517c269169f241ef45598","FIXUP: FROMLIST: clk: mediatek: Add new clkmux register API","squashed into ade20e3b572d5a94eead1407f68d031bc41d1cf2",
"c097e29c0aab145aac6125f70b206791f93d4a30","FIXUP: FROMGIT: platform/x86: intel_pmc_core: Quirk to ignore XTAL shutdown","squashed into bb53e658dfabac279a6108e181c104a100d5105a",
"aba8b0f9b23f120469708fee50af4e4ba7e4de64","FIXUP: FROMGIT: ASoC: Intel: bytcht_es8316: Add support for SSP0 (BYTCR)","squashed into 65c0b43fc1e9f811ac04d98f89664e2b54dcd7a4",
