"Local SHA","Local Subject","Reason",
"c5d422e189894a7367c3649a36edfa40ed6653aa","FROMLIST: z3fold: fix wrong handling of headless pages","superseded by https://lkml.org/lkml/2018/11/5/726",
"70099737fb0df890ae7101aeffdfb6f329daea6b","FROMLIST: BACKPORT: ASoC: Intel: Boards: Add CNL RT274 I2S machine driver","TODO: Need to migrate to cpu_dai_name replacement",
"58e586f64f7a515af99a66eaa0b5d2980e383a52","FROMLIST: SoC: Intel: Power down links before tuning off display audio power","Already applied",
"e06dbec7a4f5020a9699c2d1ccb8c4228fdc3a40","FIXUP: FROMLIST: jbd2: introduce jbd2_inode dirty range scoping","fixed upstream",
"cb469f153be5f90361b82bc7d7a959c2a594df9a","FIXUP: BACKPORT: FROMLIST: audit: collect audit task parameters","already taken into accont in BACKPORT: FROMLIST: audit: collect audit task parameters",
"e09a9439c5a794b24f73e6909d8eba778e3e3041","FIXUP: FROMLIST: drm/bridge: Add I2C based driver for ps8640 bridge","squashed into 71e4156c5ec43f72077bb1f50882f588cfd71d71",
"e8d4381e6c27b5d1b563d29dd251e34d05af32dc","FIXUP: FROMLIST: drm/bridge: Add I2C based driver for ps8640 bridge","squashed into 71e4156c5ec43f72077bb1f50882f588cfd71d71",
"b76022244711d37002f7e899c1197ab76a1e1124","BACKPORT: FROMLIST: clk: Remove cached cores in parent map during unregister","TODO: replace with v2 https://lore.kernel.org/lkml/20190828181959.204401-1-sboyd@kernel.org/",
"2f7d5297b38e364447fdffda2dfcb2f58e010185","BACKPORT: FROMLIST: nvme: Add quirk for LiteON CL1 devices running FW 22301111","TODO: applied to -rc6 as cb32de1b7e2591f844f18a5513fde8e2bd49bce0",
"6825e3a28a075d0285d3e266b6c5872ec93f817a","CHROMIUM: drm/i915/dd: Mark icl_mg_phy_ddi_translation as __maybe_unused","No longer needed. The variable is used by 07685c827b2a020c88c25a6961c435050bbbe7b3",
"33885d95d75f41d24e365f0ef31b08c9327db9c8","CHROMIUM: dm: boot time specification of dm=","We should use dm-mod.create= instead of dm=",
"e3047f37343f246578d6d534395696e621f09090","ANDROID: Kbuild, LLVMLinux: allow overriding clang target triple","Intentionally removed? in commit fe16e58c302d949ea067efb6ed8329836a4592af",
"b9ea56b0b0d22f7bc13563948ba578bf116ae896","ANDROID: net: ipv4: tcp: add a sysctl to config the tcp_default_init_rwnd","The init window can already be set by BPF, do we need the sysctrl interface? See 13d3b1ebe28762c79e981931a41914fae5d04386",
"ab5ee48e3076dc2b41391010cd5f422dfb24b543","ANDROID: mnt: Add filesystem private data to mount points","TODO: The VFS interface has changed enough where the patch is non trivial",
"8385c8dad565a4d4946d480db9de2e806a5aa21f","ANDROID: vfs: Allow filesystems to access their private mount data","TODO: The VFS interface has changed enough where the patch is non trivial",
"331f1ecfee7b01be707b4339bab63cd1a9ae089a","ANDROID: fs: exofs: fix filler function type","exofs was removed in 80f2121380caa14895638b24b81800158c0844f2",
"e6b4f0e95efd47d9f27c9efc7a454abd109dffb4","cfi: print target address on failure","Parent commit was rolled back, so the file doesn't exist",
"94ba58c667bc9ad5eb685bd02036725ab092df3a","ANDROID: Reduce use of #ifdef CONFIG_CPU_FREQ_TIMES","Commit this applied to was never commited because it was reverted.",
"353a450e7124b455d7dd0e2c47dc78c75ec42066","CHROMIUM: platform: arm: add firmware driver for ChromeOS.","Reverted by 733b332212ec5fe7fbfb1edf76dfb9126e48401d",
"2151ca7ce88e92f3cfcd1cbb6e2cb3bd6f133507","CHROMIUM: platform: arm: add event log support.","Reverted by 733b332212ec5fe7fbfb1edf76dfb9126e48401d",
"31e48ca2503ce8a195ea04acbd6260c65f25a5d9","CHROMIUM: cros-ec: Update cros_ec_commands header to latest version","all changes already applied",
